nimi_suomi,nimi_ruotsi,x,y,kunta
Vilhontie,Vilhelmsvägen,25505693.97,6690590.322,Vantaa
Keimolankaarre,Käinbysvängen,25490820.07,6689318.638,Vantaa
Perkiönreuna,Nybolandskanten,25492606.82,6685946.924,Vantaa
Peiponsiipi,Bofinksvingen,25504156.15,6695351.003,Vantaa
Tiilipojanlenkki,Tegelpojkslänken,25489531.85,6685018.486,Vantaa
Ruutanakuja,Rudgränden,25506865.67,6692773.467,Vantaa
Mamsellintie,Mamsellvägen,25497818.5,6685380.405,Vantaa
Jalaskuja,Medgränden,25487562.24,6682690.897,Vantaa
Puuhelmenpolku,Träpärlsstigen,25492102.0,6689716.0,Vantaa
Suolakuja,Saltgränden,25492603.0,6686352.0,Vantaa
Krouvinpolku,Krogstigen,25504398.72,6686089.342,Vantaa
Ojahaanrinne,Bäckhagsbrinken,25492131.28,6683548.292,Vantaa
Auringonkehrä,Solskivan,25502201.18,6690406.414,Vantaa
Rajalinnantie,Råborgsvägen,25490785.69,6697832.732,Vantaa
Lapinrinne,Lappbrinken,25493190.57,6690718.092,Vantaa
Silvolankankaantie,Sillbölemalmsvägen,25493651.03,6683689.433,Vantaa
Lomapolku,Semesterstigen,25494848.67,6694166.411,Vantaa
Haperokuja,Krämlagränden,25495609.63,6686002.703,Vantaa
Pääskytie,Svalvägen,25504384.24,6695774.004,Vantaa
Timonpolku,Timostigen,25504006.83,6691374.794,Vantaa
Fastbölentie,Fastbölevägen,25502451.54,6685268.27,Vantaa
Naalikuja,Fjällrävsgränden,25504861.85,6693155.409,Vantaa
Piikkikuja,Pikgränden,25490484.45,6682864.157,Vantaa
Pähkinänkuori,Nötskalet,25489346.64,6683507.148,Vantaa
Kissankäpäläntie,Kattfotsvägen,25501378.85,6688539.995,Vantaa
Hallapolku,Froststigen,25494963.8,6694043.05,Vantaa
Pudaskuja,Ågrensgränden,25491516.23,6683478.37,Vantaa
Kastemadonkuja,Daggmaskgränden,25508110.21,6691699.535,Vantaa
Pukkipolku,Bockstigen,25495269.46,6686060.893,Vantaa
Siilireitti,Igelkottsrutten,25504985.0,6692652.0,Vantaa
